Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
225088 Gonggong,1230,67.5,0.5,31,33.8,101,res · 3:10
50000 Quaoar,1070,43.6,0.04,8,41.8,45.4,cubewano (hot)
90377 Sedna,995,500,0.85,12,76.3,923,sednoid
(307261) 2002 MS4,934,42,0.14,18,36.1,47.9,cubewano (hot)
90482 Orcus,910,39.1,0.23,21,30.2,48.1,plutino
120347 Salacia,866,42.3,0.1,24,37.9,46.7,cubewano (hot)
(589683) 2010 RF43,770,49.7,0.24,31,37.6,61.9,other TNO
(55565) 2002 AW197,768,47,0.13,24,40.9,53,cubewano (hot)
(532037) 2013 FY27,740,58.8,0.4,33,35.5,82.1,SDO
(523692) 2014 EZ51,728,52.4,0.23,10,40.4,64.4,other TNO
(574372) 2010 JO179,725,78.3,0.5,32,39.5,117,SDO
(208996) 2003 AZ84,723,39.3,0.18,14,32.1,46.5,plutino
174567 Varda,722,46.1,0.14,22,39.6,52.6,cubewano (hot)
(24835) 1995 SM55,701,41.8,0.1,27,37.5,46.1,Haumea
(90568) 2004 GV9,680,42,0.07,22,38.8,45.1,cubewano (hot)
(145452) 2005 RN43,679,41.8,0.03,19,40.6,43.1,cubewano (hot)
20000 Varuna,678,42.7,0.06,17,40.3,45.1,cubewano (hot)
(455502) 2003 UZ413,670,39.3,0.23,12,30.5,48.1,plutino
(55637) 2002 UX25,665,42.7,0.14,19,36.7,48.7,cubewano (hot)
28978 Ixion,617,39.7,0.24,20,30.1,49.3,plutino
229762 Gǃkúnǁʼhòmdímà,614,73.1,0.49,23,37.6,109,SDO
19521 Chaos,600,45.5,0.1,12,41,50,cubewano (hot)
(523671) 2013 FZ27,592,47.9,0.22,14,37.4,58.4,other TNO
(523639) 2010 RE64,584,66.2,0.45,14,36.6,95.9,SDO
(523759) 2014 WK509,584,50.9,0.21,15,40.4,61.4,other TNO
(528381) 2008 ST291,584,101,0.58,21,42.5,160,res · 1:6
(543354) 2014 AN55,581,55.8,0.39,9,34.3,77.4,SDO
(78799) 2002 XW93,565,37.4,0.25,14,27.9,46.8,centaur
(278361) 2007 JJ43,558,48.4,0.17,12,40.4,56.5,other TNO
(470308) 2007 JH43,558,39.7,0.02,18,38.8,40.6,plutino?
(84922) 2003 VS2,548,39.3,0.07,15,36.4,42.2,plutino
(470443) 2007 XV50,528,45.8,0.07,23,42.6,49,cubewano (hot)
(145451) 2005 RM43,524,90.4,0.61,29,35.1,146,SDO
(482824) 2013 XC26,520,42.1,0.23,19,32.6,51.6,other TNO
(386723) 2009 YE7,516,44.3,0.14,29,37.8,50.7,Haumea
(84522) 2002 TC302,500,55.3,0.29,35,39.2,71.4,res · 2:5
(202421) 2005 UQ513,498,43.5,0.14,26,37.3,49.6,cubewano (hot)
(499514) 2010 OO127,495,42.5,0.13,26,37.1,47.8,cubewano (hot)
(556004) 2014 HA200,495,56,0.35,10,36.7,75.4,SDO
(308193) 2005 CB79,492,43.2,0.14,29,37.1,49.2,Haumea
