Name,Diameter,a
225088 Gonggong,1230,67.5
50000 Quaoar,1070,43.6
90377 Sedna,995,500
(307261) 2002 MS4,934,42
90482 Orcus,910,39.1
120347 Salacia,866,42.3
(589683) 2010 RF43,770,49.7
(55565) 2002 AW197,768,47
(532037) 2013 FY27,740,58.8
(523692) 2014 EZ51,728,52.4
(574372) 2010 JO179,725,78.3
(208996) 2003 AZ84,723,39.3
174567 Varda,722,46.1
(24835) 1995 SM55,701,41.8
(90568) 2004 GV9,680,42
(145452) 2005 RN43,679,41.8
20000 Varuna,678,42.7
(455502) 2003 UZ413,670,39.3
(55637) 2002 UX25,665,42.7
28978 Ixion,617,39.7
229762 Gǃkúnǁʼhòmdímà,614,73.1
19521 Chaos,600,45.5
(523671) 2013 FZ27,592,47.9
(523639) 2010 RE64,584,66.2
(523759) 2014 WK509,584,50.9
(528381) 2008 ST291,584,101
(543354) 2014 AN55,581,55.8
(78799) 2002 XW93,565,37.4
(278361) 2007 JJ43,558,48.4
(470308) 2007 JH43,558,39.7
(84922) 2003 VS2,548,39.3
(470443) 2007 XV50,528,45.8
(145451) 2005 RM43,524,90.4
(482824) 2013 XC26,520,42.1
(386723) 2009 YE7,516,44.3
(84522) 2002 TC302,500,55.3
(202421) 2005 UQ513,498,43.5
(499514) 2010 OO127,495,42.5
(556004) 2014 HA200,495,56
(308193) 2005 CB79,492,43.2
(523635) 2010 DN93,492,55
(523681) 2014 BV64,492,45.6
(556416) 2014 OE394,486,46.7
(559182) 2015 BZ518,484,47.1
(523742) 2014 TZ85,479,43.5
471143 Dziewanna,470,70.1
(175113) 2004 PF115,468,39.2
(523645) 2010 VK201,462,43.2
(26375) 1999 DE9,461,55.1
(120132) 2003 FY128,460,49.2
(119951) 2002 KX14,455,39.1
(470599) 2008 OG19,451,67.7
(495603) 2015 AM281,449,54.9
(84719) 2002 VR128,448,39.5
(523750) 2014 US224,447,46.7
(472271) 2014 UM33,445,43.1
(555632) 2014 BZ57,445,42.6
(523693) 2014 FT71,443,43.8
(315530) 2008 AP129,435,41.5
(543454) 2014 HZ199,433,43.2
(523752) 2014 VU37,431,40.7
(523653) 2011 OA60,427,41.2
(556068) 2014 JR80,425,39.7
(444030) 2004 NT33,423,43.9
(445473) 2010 VZ98,421,154
(578993) 2014 JP80,419,39.7
(182934) 2002 GJ32,416,44.5
(303775) 2005 QU182,416,114
(19308) 1996 TO66,409,43.5
(469372) 2001 QF298,408,39.6
38628 Huya,406,39.6
(523772) 2014 XR40,404,42.8
(523780) 2015 AN281,404,41.8
(307616) 2003 QW90,401,44
(469615) 2004 PT107,400,40.9
(523757) 2014 WH509,400,43.9
(15789) 1993 SC,398,39.4
(33340) 1998 VG44,398,39
(144897) 2004 UX10,398,39.1
(552555) 2010 ER65,397,97.6
(35671) 1998 SN165,393,38.1
(471137) 2010 ET65,393,62
(523640) 2010 RO64,393,47.2
(532093) 2013 HV156,391,47.6
(471288) 2011 GM27,382,43.6
(523690) 2014 DN143,382,47
(523724) 2014 MA70,381,43.9
(574441) 2010 OE153,379,58.3
(495613) 2015 FG345,377,42.1
(555678) 2014 CO23,377,43.7
(493480) 2014 YZ49,375,40.1
(523745) 2014 TD86,375,42.8
(523721) 2014 LR28,374,44.3
(145480) 2005 TB190,372,76.8
(523773) 2014 XS40,372,42.2
(523659) 2012 HG84,368,43.4
(529780) 2010 MQ116,368,42.2
(120348) 2004 TY364,365,38.9
(471318) 2011 JF31,365,41.5
(523678) 2013 XB26,365,45.5
(523777) 2014 YF50,363,78.9
(524435) 2002 CY248,363,46
(555915) 2014 GX53,363,40.8
(483002) 2014 QS441,362,47.1
(555820) 2014 EA52,362,41.4
(523738) 2014 SH349,358,43.3
(444745) 2007 JF43,357,39.6
(471165) 2010 HE79,355,39.1
(471921) 2013 FC28,354,45.8
(26181) 1996 GQ21,352,93.8
(42301) 2001 UR163,352,51.8
(523736) 2014 QA442,352,43.4
(530055) 2010 VW224,352,43.6
(534625) 2014 UQ224,352,44.2
541132 Leleākūhonua,352,1031
(523601) 2003 UY413,350,47.5
(576256) 2012 JH67,350,47.8
(305543) 2008 QY40,347,62.7
(535228) 2014 YE50,347,59.1
(126154) 2001 YH140,345,42.1
(312645) 2010 EP65,345,47.6
(471210) 2010 VW11,345,50.6
(532092) 2013 HU156,345,39.6
(523769) 2014 WS510,344,54.8
(523687) 2014 DF143,342,42.6
(523763) 2014 WZ509,342,40.1
(523688) 2014 DK143,341,42.4
(523735) 2014 QX441,341,38.7
(15874) 1996 TL66,339,83.4
(230965) 2004 XA192,339,46.9
(119979) 2002 WC19,338,47.5
(523617) 2007 PS45,336,48
(523749) 2014 UR224,336,50.3
(553893) 2012 BW154,336,45.6
(599752) 2010 VQ11,336,45
(487581) 2015 BE519,335,47.5
(523696) 2014 GW53,335,41.3
(559181) 2015 BX518,335,42.7
(307982) 2004 PG115,334,92.5
(523768) 2014 WQ510,333,39.3
(82158) 2001 FP185,332,217
(523674) 2013 MA12,330,41.8
(143991) 2003 YO179,328,44.3
(471196) 2010 PK66,328,41.1
(523643) 2010 TY53,328,39.1
(523680) 2013 YJ151,327,72.1
(542258) 2013 AP183,325,57.5
(555757) 2014 DM143,324,44.8
(523758) 2014 WJ509,322,42.7
(79978) 1999 CC158,321,53.6
(523675) 2013 PV74,321,50.5
(533209) 2014 DR143,321,39.3
(533560) 2014 JM80,321,63.1
(547893) 2010 WN75,321,40.6
(307251) 2002 KW14,319,47.1
(523691) 2014 DO143,318,47.3
(523712) 2014 JS80,317,48.6
(471954) 2013 RM98,315,43.6
(523684) 2014 CQ23,315,45.9
420356 Praamzius,314,42.5
(450265) 2003 WU172,312,38.9
(535989) 2015 BV518,312,44.6
(470596) 2008 NW4,311,45.6
(501546) 2014 JJ80,311,43.5
(523722) 2014 LV28,311,70.2
(469306) 1999 CD158,310,43.5
(470316) 2007 OC10,309,50.3
(472231) 2014 FU71,308,43.6
(469421) 2001 XD255,306,39.2
(533563) 2014 JW80,306,142
(538690) 2016 FP59,306,46.6
(523744) 2014 TC86,304,43.8
(575713) 2011 UT410,304,39.6
(500879) 2013 JH64,301,59.3
(523723) 2014 MY69,301,40.7
(543375) 2014 BX64,301,41.6
(145453) 2005 RR43,300,43.3
(363330) 2002 PQ145,300,44.1
(523655) 2011 VJ24,300,39.4
(524531) 2002 XH91,300,43.7
(523760) 2014 WQ509,297,39.1
(535020) 2014 WG509,297,42.5
(471150) 2010 FC49,295,38.9
(523634) 2010 AH2,295,40.3
(545361) 2011 GZ61,295,42.7
(535027) 2014 WY509,294,43.8
(553137) 2011 BM170,294,55.5
(182397) 2001 QW297,293,51.9
(437915) 2002 GD32,293,44.8
(469333) 2000 PE30,293,54.7
(505448) 2013 SA100,293,46.5
(523629) 2008 SP266,293,41.2
(523642) 2010 SS43,293,45.5
(523706) 2014 HF200,293,61.7
(523761) 2014 WU509,293,41.3
(534074) 2014 QZ441,293,42.2
(535028) 2014 WA510,293,45.4
(535991) 2015 BD519,293,55.1
(536919) 2015 FL345,293,46.2
(120216) 2004 EW95,291,39.6
(505624) 2014 GU53,291,43.7
(559180) 2015 BT518,290,43.6
(505679) 2014 WT69,289,47.7
(55636) 2002 TX300,286,43.4
(523646) 2010 VL201,286,36.4
(523778) 2014 YK50,286,118
(150642) 2001 CZ31,285,45
(33001) 1997 CU29,280,43.3
(523627) 2008 QB43,280,42
(531682) 2012 UB178,280,42.6
(532026) 2013 EC138,280,47.1
(532038) 2013 FB28,280,45.9
(535018) 2014 WA509,280,44
(547617) 2010 TT195,280,43.3
(472232) 2014 FW71,277,43
(523765) 2014 WD510,276,57.8
(533206) 2014 DE143,276,43.1
(120178) 2003 OP32,274,43.5
(523702) 2014 HW199,274,46.5
(523748) 2014 UP224,274,40.7
(592487) 2014 WF509,274,45.2
(523716) 2014 KW101,273,41.1
47171 Lempo,272,39.6
(523658) 2012 DW98,272,41.1
(523793) 2015 OV79,272,40.8
(40314) 1999 KR16,271,49
(168703) 2000 GP183,271,39.9
(308379) 2005 RS43,271,48
(523774) 2014 XV40,271,60.3
(523776) 2014 YB50,271,41.4
(523647) 2010 VV224,269,44.1
(523743) 2014 TA86,269,42.3
(26308) 1998 SM165,268,47.7
(145474) 2005 SA278,267,92.4
(511552) 2014 UE225,267,43.6
(523730) 2014 OH394,267,46
(533205) 2014 DD143,267,43.7
(535021) 2014 WL509,267,41.3
(538691) 2016 FW59,267,43.5
(543376) 2014 BE70,267,103
(592044) 2014 MB70,267,46.9
(592064) 2014 NZ65,267,44.4
(602716) 2014 OP394,267,66.9
(79983) 1999 DF9,266,46.2
(534405) 2014 TW85,266,42.9
(86177) 1999 RY215,263,45.6
(471172) 2010 JC80,263,55.8
(543735) 2014 OS394,263,150
(531017) 2012 BA155,262,55
(592148) 2014 OM394,261,44.3
(470027) 2006 RC103,257,42.2
(523725) 2014 MC70,257,45.5
(554856) 2013 CF229,257,47.5
(530955) 2011 YN79,256,72.8
(533704) 2014 MZ69,256,46.4
(119956) 2002 PA149,255,43.9
(385363) 2002 PW170,255,45
(408832) 2001 QJ298,255,44.5
(470593) 2008 LP17,255,91.6
(480017) 2014 QB442,255,67.1
(505478) 2013 UT15,255,197
(523699) 2014 GH54,255,59.8
(525815) 2005 SD278,255,55.2
(531684) 2012 UE178,255,43.5
(535022) 2014 WN509,255,42.3
(534627) 2014 UV224,254,71.4
(307463) 2002 VU130,253,39
(508869) 2002 VT130,251,42.2
(55638) 2002 VE95,250,39.1
